AX: 0.99, AY: -2.07, AZ: 0.00, GX: -2312.00, GY: 468.00, GZ: 32767.00

AX: 0.95, AY: -2.44, AZ: 0.00, GX: -2307.00, GY: 477.00, GZ: 32767.00

AX: 0.79, AY: -2.77, AZ: 0.01, GX: -2302.00, GY: 481.00, GZ: 32767.00

AX: 0.52, AY: -3.04, AZ: -0.01, GX: -2301.00, GY: 475.00, GZ: 32767.00

AX: 0.17, AY: -3.17, AZ: -0.02, GX: -2308.00, GY: 479.00, GZ: 32767.00

AX: -0.21, AY: -3.19, AZ: -0.04, GX: -2317.00, GY: 478.00, GZ: 32767.00

AX: -0.56, AY: -3.06, AZ: -0.04, GX: -2318.00, GY: 481.00, GZ: 32767.00

AX: -0.83, AY: -2.75, AZ: -0.05, GX: -2321.00, GY: 475.00, GZ: 32767.00

AX: -0.99, AY: -2.38, AZ: -0.05, GX: -2317.00, GY: 474.00, GZ: 32767.00

AX: -1.02, AY: -2.02, AZ: -0.05, GX: -2324.00, GY: 476.00, GZ: 32767.00

AX: -0.90, AY: -1.66, AZ: -0.05, GX: -2322.00, GY: 472.00, GZ: 32767.00

AX: -0.67, AY: -1.38, AZ: -0.06, GX: -2318.00, GY: 470.00, GZ: 32767.00

AX: -0.33, AY: -1.25, AZ: -0.03, GX: -2319.00, GY: 461.00, GZ: 32767.00

AX: 0.03, AY: -1.21, AZ: -0.03, GX: -2309.00, GY: 463.00, GZ: 32767.00

AX: 0.40, AY: -1.34, AZ: -0.02, GX: -2319.00, GY: 462.00, GZ: 32767.00

AX: 0.70, AY: -1.57, AZ: -0.01, GX: -2307.00, GY: 463.00, GZ: 32767.00

AX: 0.91, AY: -1.90, AZ: 0.00, GX: -2309.00, GY: 463.00, GZ: 32767.00

AX: 0.97, AY: -2.26, AZ: 0.01, GX: -2308.00, GY: 467.00, GZ: 32767.00

AX: 0.90, AY: -2.62, AZ: -0.00, GX: -2307.00, GY: 472.00, GZ: 32767.00

AX: 0.71, AY: -2.94, AZ: -0.02, GX: -2306.00, GY: 472.00, GZ: 32767.00

AX: 0.41, AY: -3.13, AZ: -0.01, GX: -2304.00, GY: 477.00, GZ: 32767.00

AX: 0.05, AY: -3.20, AZ: -0.02, GX: -2303.00, GY: 481.00, GZ: 32767.00

AX: -0.33, AY: -3.13, AZ: -0.03, GX: -2304.00, GY: 481.00, GZ: 32767.00

